kind,scheme,reference,K,n,mean,se,se_by_image,diff,se_diff,t,df,p,diff_by_image_se,t_by_image,p_by_image,note
throughput_se,oma_static,,4,1000,2.4960,0.0306,0.0685,,,,,,,,,"designed N=4, SER=0.3760; se column = sqrt(K*SER*(1-SER)/1000), se_by_image column = sqrt(K*SER*(1-SER)/200)"
throughput_se,deepma_offload,,4,1000,2.4672,0.0307,0.0688,,,,,,,,,"designed N=4, SER=0.3832; se column = sqrt(K*SER*(1-SER)/1000), se_by_image column = sqrt(K*SER*(1-SER)/200)"
throughput_se,deepma_offload,,1,1000,0.2540,0.0138,0.0308,,,,,,,,,"designed N=8, SER=0.7460; se column = sqrt(K*SER*(1-SER)/1000), se_by_image column = sqrt(K*SER*(1-SER)/200)"
throughput_se,deepma_offload,,2,1000,0.6640,0.0211,0.0471,,,,,,,,,"designed N=8, SER=0.6680; se column = sqrt(K*SER*(1-SER)/1000), se_by_image column = sqrt(K*SER*(1-SER)/200)"
throughput_se,deepma_offload,,3,1000,1.1889,0.0268,0.0599,,,,,,,,,"designed N=8, SER=0.6037; se column = sqrt(K*SER*(1-SER)/1000), se_by_image column = sqrt(K*SER*(1-SER)/200)"
throughput_se,deepma_offload,,4,1000,1.5880,0.0309,0.0692,,,,,,,,,"designed N=8, SER=0.6030; se column = sqrt(K*SER*(1-SER)/1000), se_by_image column = sqrt(K*SER*(1-SER)/200)"
throughput_se,deepma_offload,,5,1000,1.9680,0.0345,0.0772,,,,,,,,,"designed N=8, SER=0.6064; se column = sqrt(K*SER*(1-SER)/1000), se_by_image column = sqrt(K*SER*(1-SER)/200)"
throughput_se,deepma_offload,,6,1000,2.3610,0.0378,0.0846,,,,,,,,,"designed N=8, SER=0.6065; se column = sqrt(K*SER*(1-SER)/1000), se_by_image column = sqrt(K*SER*(1-SER)/200)"
throughput_se,deepma_offload,,7,1000,2.7020,0.0407,0.0911,,,,,,,,,"designed N=8, SER=0.6140; se column = sqrt(K*SER*(1-SER)/1000), se_by_image column = sqrt(K*SER*(1-SER)/200)"
throughput_se,deepma_offload,,8,1000,3.0536,0.0435,0.0972,,,,,,,,,"designed N=8, SER=0.6183; se column = sqrt(K*SER*(1-SER)/1000), se_by_image column = sqrt(K*SER*(1-SER)/200)"
throughput_se,todma,,4,1000,0.4548,0.0201,0.0449,,,,,,,,,"designed N=4, SER=0.8863; se column = sqrt(K*SER*(1-SER)/1000), se_by_image column = sqrt(K*SER*(1-SER)/200)"
throughput_se,psma,,4,1000,2.1320,0.0316,0.0706,,,,,,,,,"designed N=4, SER=0.4670; se column = sqrt(K*SER*(1-SER)/1000), se_by_image column = sqrt(K*SER*(1-SER)/200)"
throughput_se,psma,,1,1000,0.8060,0.0125,0.0280,,,,,,,,,"designed N=8, SER=0.1940; se column = sqrt(K*SER*(1-SER)/1000), se_by_image column = sqrt(K*SER*(1-SER)/200)"
throughput_se,psma,,2,1000,1.3660,0.0208,0.0465,,,,,,,,,"designed N=8, SER=0.3170; se column = sqrt(K*SER*(1-SER)/1000), se_by_image column = sqrt(K*SER*(1-SER)/200)"
throughput_se,psma,,3,1000,1.7661,0.0270,0.0603,,,,,,,,,"designed N=8, SER=0.4113; se column = sqrt(K*SER*(1-SER)/1000), se_by_image column = sqrt(K*SER*(1-SER)/200)"
throughput_se,psma,,4,1000,1.9868,0.0316,0.0707,,,,,,,,,"designed N=8, SER=0.5033; se column = sqrt(K*SER*(1-SER)/1000), se_by_image column = sqrt(K*SER*(1-SER)/200)"
throughput_se,psma,,5,1000,2.2010,0.0351,0.0785,,,,,,,,,"designed N=8, SER=0.5598; se column = sqrt(K*SER*(1-SER)/1000), se_by_image column = sqrt(K*SER*(1-SER)/200)"
throughput_se,psma,,6,1000,2.5038,0.0382,0.0854,,,,,,,,,"designed N=8, SER=0.5827; se column = sqrt(K*SER*(1-SER)/1000), se_by_image column = sqrt(K*SER*(1-SER)/200)"
throughput_se,psma,,7,1000,2.7097,0.0408,0.0911,,,,,,,,,"designed N=8, SER=0.6129; se column = sqrt(K*SER*(1-SER)/1000), se_by_image column = sqrt(K*SER*(1-SER)/200)"
throughput_se,psma,,8,1000,2.8344,0.0428,0.0957,,,,,,,,,"designed N=8, SER=0.6457; se column = sqrt(K*SER*(1-SER)/1000), se_by_image column = sqrt(K*SER*(1-SER)/200)"
